Club,Name,Position(s),Base Salary,Guaranteed Compensation
Minnesota United,Tani O luwaseyi,M-F,"$65,500.00","$65,500.00"
Minnesota United,Devin Padelford,D,"$65,500.00","$72,500.00"
Minnesota United,Emanuel Reynoso,M,"$850,000.00","$1,066,910.00"
Minnesota United,Joseph Posales,M,"$65,500.00","$65,500.00"
Minnesota United,Dayne St. Clair,GK,"$300,000.00","$321,875.00"
Minnesota United,David Taylor,M,"$85,444.00","$85,444.00"
Minnesota United,Wil Trapp,M,"$784,875.00","$784,875.00"
Minnesota United,Patrick Weah,M-F,"$66,724.00","$79,910.00"
Nashville SC,Tah Brian Anunga,M,"$156,000.00","$176,000.00"
Nashville SC,Josh Bauer,D,"$66,724.00","$66,724.00"
Nashville SC,Teal Bunbury,M-F,"$400,000.00","$444,167.00"
Nashville SC,Handwalla Bwana,F-M,"$140,000.00","$140,000.00"
Nashville SC,Robert Castellanos,D,"$84,000.00","$84,000.00"
Nashville SC,Sean Davis,M,"$637,500.00","$637,500.00"
Nashville SC,Irakoze Donasiyano,M-D,"$66,724.00","$66,724.00"
Nashville SC,Anibal Godoy,M,"$800,000.00","$871,250.00"
Nashville SC,Luke Haakenson,M,"$84,000.00","$84,000.00"
Nashville SC,Randall Leal,F-M,"$850,000.00","$965,000.00"
Nashville SC,Ake Loba,F,"$1,250,000.00","$1,491,475.00"
Nashville SC,Ahmed Longmire,M-D,"$65,500.00","$65,500.00"
Nashville SC,Daniel Lovitz,D,"$498,750.00","$498,750.00"
Nashville SC,Jack Maher,D,"$130,000.00","$164,000.00"
Nashville SC,Dax McCarty,M,"$475,000.00","$517,500.00"
Nashville SC,Bryan Meredith,GK,"$84,000.00","$84,000.00"
Nashville SC,William Meyer,GK,"$65,500.00","$65,500.00"
Nashville SC,Eric Miller,D,"$168,000.00","$168,000.00"
Nashville SC,Shaquell Moore,D,"$700,000.00","$779,400.00"
Nashville SC,Hany Mukhtar,M,"$1,637,500.00","$1,926,250.00"
Nashville SC,Alex Muyl,M,"$325,000.00","$331,562.00"
Nashville SC,Elliot Panicco,GK,"$85,444.00","$85,444.00"
Nashville SC,Rodrigo Pineiro,F,"$275,000.00","$372,500.00"
Nashville SC,Dave Romney,D,"$475,000.00","$475,000.00"
Nashville SC,CJ Sapong,F,"$550,000.00","$550,000.00"
Nashville SC,Jacob Shaffelburg,M-F,"$130,000.00","$136,500.00"
Nashville SC,Taylor Washington,D-M,"$93,989.00","$107,570.00"
Nashville SC,Joe Willis,GK,"$300,000.00","$316,250.00"
Nashville SC,Walker Zimmerman,D,"$2,088,235.00","$2,345,214.00"
Nashville SC,Ethan Zubak,F,"$116,000.00","$130,000.00"
New England Revolution,Jozy Altidore,F,"$3,706,139.00","$4,264,963.00"
New England Revolution,Esmir Bajraktarevic,M,"$65,500.00","$71,559.00"
New England Revolution,Jon Bell,D,"$84,000.00","$84,000.00"
New England Revolution,Emmanuel Boateng,M,"$225,000.00","$225,000.00"
New England Revolution,Dylan Borrero,F,"$550,000.00","$613,962.00"
New England Revolution,Gustavo Bou,M-F,"$2,500,000.00","$2,675,000.00"
New England Revolution,Noel Buck,M,"$65,500.00","$65,500.00"
New England Revolution,Brandon Bye,D,"$325,000.00","$343,813.00"
New England Revolution,AJ DeLaGarza,D-M,"$250,000.00","$250,000.00"
New England Revolution,Clement Diop,GK,"$125,000.00","$136,250.00"
New England Revolution,Earl Elwards,GK,"$84,000.00","$84,000.00"
New England Revolution,Andrew Farrell,D,"$425,000.00","$443,750.00"
New England Revolution,Carles Gil,M,"$3,250,000.00","$3,545,833.00"
New England Revolution,Nacho Gil,M,"$100,000.00","$100,000.00"
New England Revolution,Omar G onzalez,D,"$425,000.00","$450,000.00"
New England Revolution,Jacob Jackson,GK,"$65,500.00","$65,500.00"
New England Revolution,DeJuan Jones,D-M,"$350,000.00","$370,000.00"
New England Revolution,Wilfrid Kyptoym,M,"$525,000.00","$582,500.00"
New England Revolution,Henry Kossler,D,"$150,000.00","$170,000.00"
New England Revolution,Edward Kizza,F,"$66,724.00","$66,724.00"
New England Revolution,Brad Krighton,GK,"$150,000.00","$157,500.00"
New England Revolution,Lucas Maciel Felix,M,"$69,902.00","$69,902.00"
New England Revolution,Christian Makoun,D-M,"$200,000.00","$200,000.00"
New England Revolution,Thomas McNamara,M,"$240,000.00","$240,000.00"
New England Revolution,Dorde Petrovic,GK,"$225,000.00","$225,000.00"
New England Revolution,Matt Polster,D-M,"$325,000.00","$353,437.00"
New England Revolution,Justin Rennicks,F,"$110,000.00","$120,000.00"
New England Revolution,Benjamin Reveno,D,"$65,500.00","$65,500.00"
New England Revolution,Damian Rivera,M,"$84,000.00","$84,000.00"
New England Revolution,Ryan Soa ulding,M,"$65,500.00","$65,500.00"
New England Revolution,Ismael Tajouri-Shradi,F,"$606,375.00","$647,860.00"
New England Revolution,Giacomo Vrioni,F,"$1,500,000.00","$1,747,500.00"
New York City FC,Nicolas Acevedo,D-M,"$200,000.00","$244,800.00"
New York City FC,Malte Amundsen,D,"$270,000.00","$308,700.00"
New York City FC,Heber Araujo dos Santos,F,"$825,000.00","$914,000.00"
New York City FC,Luis Barraza,GK,"$125,000.00","$132,688.00"
New York City FC,Nico Benalcazar,D,"$65,500.00","$65,500.00"
New York City FC,Alexander Callens,D,"$750,000.00","$814,000.00"
New York City FC,Maximo Carrizo,M,"$65,500.00","$84,357.00"
New York City FC,Valentin Castellanos,M,"$900,000.00","$1,076,000.00"
New York City FC,Maxime Chanot,D,"$700,000.00","$700,000.00"
New York City FC,Thiago De Andrade,F,"$180,000.00","$199,600.00"
New York City FC,Christopher Gloster,D,"$228,000.00","$238,000.00"
New York City FC,Tayvon Gray,D,"$125,000.00","$144,788.00"
New York City FC,Justin Haak,M,"$85,444.00","$85,444.00"
New York City FC,Andres Jasson,M,"$100,000.00","$117,144.00"
New York City FC,Jonathan Jimenez,F,"$65,500.00","$65,500.00"
New York City FC,Sean Johnson,GK,"$550,000.00","$550,000.00"
New York City FC,Vukashin Latinovich,D,"$85,444.00","$85,444.00"
New York City FC,Talles Magno,F,"$950,000.00","$1,198,000.00"
New York City FC,Thiago Martins,D,"$1,500,000.00","$1,962,000.00"
New York City FC,Christian McFarlane,M,"$65,500.00","$83,756.00"
New York City FC,Alexandru Mitrita,F,"$1,150,000.00","$1,150,000.00"
New York City FC,Cody Mizell,GK,"$85,444.00","$85,444.00"
New York City FC,Alfredo Morales,M,"$600,000.00","$662,250.00"
New York City FC,Maxi Moralez,M,"$670,000.00","$1,300,000.00"
New York City FC,Kevin O'Toole,F,"$65,500.00","$65,500.00"
New York City FC,Samuel Owusu,D,"$85,444.00","$85,444.00"
New York City FC,Keaton Parks,M,"$500,000.00","$500,000.00"
New York City FC,Matias Pellegrini,M-F,"$875,000.00","$970,833.00"
New York City FC,Gabriel Pereira,F,"$555,000.00","$624,500.00"
New York City FC,Santiago Rodriguez,M,"$612,500.00","$612,500.00"
New York City FC,James Sands,D-M,"$400,000.00","$493,956.00"
New York City FC,Anton CTinnerholm,D,"$750,000.00","$800,000.00"
New York City FC,Gedion Zelalem,M,"$84,000.00","$84,000.00"
New York Red Bulls,Frankie Amaya,M,"$325,000.00","$381,406.00"
New York Red Bulls,Tom Barlow,F,"$175,000.00","$188,151.00"
New York Red Bulls,Wikelman Carmona,M,"$66,724.00","$69,474.00"
New York Red Bulls,Cristian Ca sseres,M,"$230,000.00","$274,000.00"
New York Red Bulls,Jesus Ca stellano,M,"$65,500.00","$70,868.00"
New York Red Bulls,Caden Clark,M,"$148,800.00","$331,850.00"
New York Red Bulls,Carlos Migue Coronel,GK,"$480,000.00","$529,660.00"
New York Red Bulls,Kyle Duncan,D,"$268,212.00","$293,610.00"
New York Red Bulls,Daniel Edelman,M,"$84,000.00","$91,582.00"
New York Red Bulls,Bento EsSrela,M,"$66,724.00","$90,724.00"
New York Red Bulls,Omir Fernandez,M,"$140,000.00","$155,000.00"
New York Red Bulls,Cameron Harper,M-F,"$225,000.00","$276,250.00"
New York Red Bulls,Patryk Klimala,F,"$1,000,000.00","$1,135,000.00"
New York Red Bulls,Jake La Cava,F,"$65,500.00","$65,500.00"
New York Red Bulls,Aaron Long,D,"$1,050,000.00","$1,080,000.00"
New York Red Bulls,Elias Mlanoel,F,"$360,000.00","$374,800.00"
New York Red Bulls,"Anthony Mlarcucci, Jr.",GK,"$66,724.00","$66,724.00"
New York Red Bulls,Ryan Mleara,GK,"$324,000.00","$324,000.00"
New York Red Bulls,Lewis Morgan,M-F,"$650,000.00","$653,125.00"
New York Red Bulls,Hassan N'dam,D,"$84,000.00","$84,000.00"
New York Red Bulls,Sean Nealis,D,"$175,000.00","$196,875.00"
New York Red Bulls,Dylan Nealis,D,"$175,000.00","$200,000.00"
New York Red Bulls,Serge Ngoma,F,"$65,500.00","$85,451.00"
New York Red Bulls,Matthew Nocita,D,"$84,000.00","$84,000.00"
New York Red Bulls,Andres Reyes,D,"$425,000.00","$469,375.00"
New York Red Bulls,Zach Ryan,F,"$65,500.00","$65,500.00"
New York Red Bulls,Omar Sowe,F,"$84,000.00","$93,086.00"
New York Red Bulls,Steven Sserwadda,M,"$65,500.00","$65,500.00"
New York Red Bulls,John Tolkin,D,"$100,000.00","$105,000.00"
New York Red Bulls,Dru Yesrwood,M,"$500,000.00","$568,750.00"
New York Red Bulls,Luquinhas ,F,"$1,050,000.00","$1,173,125.00"
Orlando City SC,Tesho Akindele,F,"$325,000.00","$340,000.00"
Orlando City SC,Alexander Alvarado,F,"$300,000.00","$318,240.00"
Orlando City SC,Ivan Angulo,F,"$348,000.00","$380,660.00"
Orlando City SC,Cesar Araujo,M,"$180,000.00","$261,000.00"
Orlando City SC,Wilder Cartagena,M,"$240,000.00","$280,250.00"
Orlando City SC,Antonio Carle Cunha Capocasali,sD,"$900,000.00","$925,000.00"
Orlando City SC,Ocimar De Almeida Junior,M,"$750,000.00","$780,000.00"
Orlando City SC,Joseph Dezart,M,"$89,716.00","$89,716.00"
Orlando City SC,Alex Freeman,D,"$65,500.00","$69,500.00"
Orlando City SC,Pedro Gallese,GK,"$515,000.00","$515,000.00"
Orlando City SC,Nicholas Gioacchini,F,"$350,004.00","$369,287.00"
Orlando City SC,Gaston Gonzalez,M,"$330,000.00","$332,000.00"
Orlando City SC,Adam Grinwis,GK,"$85,444.00","$85,444.00"
Orlando City SC,Michael Halliday,D,"$89,716.00","$99,447.00"
Orlando City SC,Robin Jansson,D,"$525,000.00","$581,250.00"
Orlando City SC,Ercan Kara,F,"$1,860,000.00","$1,860,000.00"
Orlando City SC,Jack Lynn,F,"$65,500.00","$65,500.00"
Orlando City SC,Benji Michel,F,"$115,000.00","$121,303.00"
Orlando City SC,Joao Moutinho,D,"$220,000.00","$263,000.00"
Orlando City SC,Jake Mulraney,M,"$301,600.00","$338,777.00"
Orlando City SC,Alexandre Pato,F,"$400,000.00","$400,000.00"
Orlando City SC,Andres Perea,M,"$240,000.00","$248,500.00"
Orlando City SC,Mauricio Pereyra,M,"$1,100,000.00","$1,348,000.00"
Orlando City SC,Wilfredo Rivera,M,"$66,724.00","$66,724.00"
Orlando City SC,Rodrigo ,D,"$200,000.00","$200,000.00"
Orlando City SC,Kyle ,D,"$128,580.00","$141,244.00"
Orlando City SC,Mason 1 Stajduhar,GK,"$89,716.00","$89,716.00"
Orlando City SC,Ruan Teixeira,D,"$360,000.00","$360,000.00"
Orlando City SC,Facundo Torres,F,"$600,000.00","$953,200.00"
Orlando City SC,Thomas Williams,D,"$66,724.00","$73,254.00"
Philadelphia Union,Paxten Aaronson,M,"$107,500.00","$111,500.00"
Philadelphia Union,Abasa Aremeyaw,D,"$65,500.00","$76,500.00"
Philadelphia Union,Alejandro Bedoya,M,"$900,000.00","$1,110,000.00"
Philadelphia Union,Joe Bendik,GK,"$250,000.00","$250,000.00"
Philadelphia Union,Andre Blake,GK,"$750,000.00","$869,375.00"
Philadelphia Union,Jesus ioBnueno,M,"$140,000.00","$155,378.00"
Philadelphia Union,Cory Burke,F,"$400,000.00","$450,770.00"
Philadelphia Union,Julian ioCnarranza,F,"$900,000.00","$900,000.00"
Philadelphia Union,Brandan ioCnraig,M,"$85,000.00","$97,825.00"
Philadelphia Union,Christopher Donovan,F,"$65,500.00","$65,500.00"
Philadelphia Union,Jack Elliott,D,"$700,000.00","$793,750.00"
Philadelphia Union,Leon Flach,M,"$250,000.00","$263,750.00"
Philadelphia Union,Matt ioFrneese,GK,"$118,250.00","$137,000.00"
Philadelphia Union,Daniel Gazdag,M-F,"$550,000.00","$586,250.00"
Philadelphia Union,Jakob Glesnes,D,"$675,000.00","$739,063.00"
Philadelphia Union,Nathan Harriel,D,"$90,000.00","$107,500.00"
Philadelphia Union,Jose Andres ioMnartinez,M,"$250,000.00","$276,250.00"
Philadelphia Union,Olivier Mbaizo,D,"$300,000.00","$367,343.00"
Philadelphia Union,Jack McGlynn,M,"$77,500.00","$91,400.00"
Philadelphia Union,Richard Odada,M,"$84,000.00","$100,280.00"
Philadelphia Union,Gino Portella,D,"$85,444.00","$99,169.00"
Philadelphia Union,Jeremy Rafanello,,"$65,500.00","$74,774.00"
Philadelphia Union,Matthew Real,D,"$105,000.00","$105,000.00"
Philadelphia Union,Anthony ioSnorenson,M,"$85,444.00","$88,444.00"
Philadelphia Union,Quinn Sullivan,M,"$100,000.00","$103,500.00"
Philadelphia Union,Cole Turner,M,"$89,716.00","$92,716.00"
Philadelphia Union,Mikael Uhre,F,"$1,400,000.00","$1,666,250.00"
Philadelphia Union,Kai Wagner,D,"$510,000.00","$581,000.00"
Portland Timbers,Dairon Asprilla,M-F,"$350,000.00","$352,500.00"
Portland Timbers,David Ayala,M,"$275,000.00","$395,000.00"
Portland Timbers,David Bingham,GK,"$84,000.00","$84,000.00"
Portland Timbers,Sebastian Blanco,M-F,"$1,340,000.00","$1,708,000.00"
Portland Timbers,Blake Bodily,M,"$84,000.00","$84,000.00"
Portland Timbers,Pablo Bonilla,D,"$132,000.00","$144,667.00"
Portland Timbers,Claudio Bravo,D,"$300,000.00","$323,310.00"
Portland Timbers,Diego Chara,M,"$675,000.00","$683,333.00"
Portland Timbers,Yimmi Chara,M,"$1,500,000.00","$1,803,000.00"
Portland Timbers,George Fochive,M,"$84,000.00","$84,000.00"
Portland Timbers,Nathan Fogaca,F,"$65,500.00","$65,500.00"
Portland Timbers,Diego Gutierrez,F,"$65,500.00","$65,500.00"
Portland Timbers,Tega Ikoba,F,"$85,444.00","$85,444.00"
Portland Timbers,Aljaz Ivacic,GK,"$220,000.00","$248,333.00"
Portland Timbers,Marvin Lona,M,"$125,000.00","$164,375.00"
Portland Timbers,Larrys Mabiala,D,"$450,000.00","$460,000.00"
Portland Timbers,Zac McGraw,D,"$84,000.00","$84,000.00"
Portland Timbers,Felipe Mora,F,"$875,000.00","$955,000.00"
Portland Timbers,Santiago Moreno,F,"$300,000.00","$344,576.00"
Portland Timbers,Juan Mosquera,D,"$160,000.00","$178,167.00"
Portland Timbers,Jaroslaw Niezgoda,F,"$807,500.00","$976,758.00"
Portland Timbers,Cristhian Paredes,M,"$252,000.00","$350,000.00"
Portland Timbers,Justin Rasmussen,D,"$65,500.00","$65,500.00"
Portland Timbers,Hunter Sulte,GK,"$65,500.00","$69,892.00"
Portland Timbers,Bill Tuiloma,D-M,"$285,000.00","$304,450.00"
Portland Timbers,Jose Van Rankin,D-M,"$85,000.00","$85,000.00"
Portland Timbers,Justin Vom Steeg,GK,"$84,000.00","$84,000.00"
Portland Timbers,Eryk Williamson,M,"$550,000.00","$550,000.00"
Portland Timbers,Dario Zuparic,D,"$375,000.00","$579,200.00"
Real Salt Lake,Gavin Beavers,GK,"$65,500.00","$71,083.00"
Real Salt Lake,Julio Benitez,M,"$65,500.00","$75,125.00"
Real Salt Lake,Nick Besler,M,"$210,000.00","$210,000.00"
Real Salt Lake,Andrew Brody,M,"$190,000.00","$215,678.00"
Real Salt Lake,Scott Caldwell,M,"$200,000.00","$205,000.00"
Real Salt Lake,Maikel Chang,M,"$98,261.00","$98,261.00"
Real Salt Lake,Sergio Cordova,F,"$600,000.00","$696,000.00"
Real Salt Lake,Jeffrey Dewsnup,GK,"$84,000.00","$93,825.00"
Real Salt Lake,Zackery Farnsworth,D,"$84,000.00","$98,750.00"
Real Salt Lake,Chris Garcia,F,"$90,000.00","$94,300.00"
Real Salt Lake,Justen Glad,D,"$675,000.00","$735,031.00"
Real Salt Lake,Tomas Gomez,GK,"$84,000.00","$84,000.00"
Real Salt Lake,Bret Halsey,D,"$84,000.00","$91,500.00"
Real Salt Lake,Aaron Herrera,D,"$700,000.00","$795,220.00"
Real Salt Lake,Bode Hidalgo Davis,M-F,"$84,000.00","$88,294.00"
Real Salt Lake,Erik Holt,D,"$125,000.00","$125,000.00"
Real Salt Lake,Anderson Julio,F-M,"$750,000.00","$820,000.00"
Real Salt Lake,Johan Kappelhof,D-M,"$260,000.00","$287,000.00"
Real Salt Lake,Axel Kei,F,"$65,500.00","$81,500.00"
Real Salt Lake,Damir Kreilach,M,"$1,762,572.00","$1,762,572.00"
Real Salt Lake,Jasper Loeffelsend,M,"$84,000.00","$84,000.00"
Real Salt Lake,Diego Luna,M,"$84,000.00","$98,380.00"
Real Salt Lake,Zac MacMath,GK,"$200,000.00","$200,000.00"
Real Salt Lake,Jonathan Menendez,M-F,"$500,000.00","$602,813.00"
Real Salt Lake,Justin Meram,M,"$425,000.00","$468,750.00"
Real Salt Lake,Danny Musovski,F,"$93,988.00","$93,988.00"
Real Salt Lake,Braian Ojeda,M,"$550,000.00","$608,653.00"
Real Salt Lake,Jaziel Orozco,D,"$65,500.00","$65,500.00"
Real Salt Lake,Bryan Oviedo,D,"$274,800.00","$320,960.00"
Real Salt Lake,Andrew Putna,GK,"$155,000.00","$168,458.00"
Real Salt Lake,Rubio Rubin,F,"$510,000.00","$582,937.00"
Real Salt Lake,Pablo Ruiz,M,"$450,000.00","$523,500.00"
Real Salt Lake,Jefferson Savarino,F,"$2,000,000.00","$2,224,292.00"
Real Salt Lake,Tate Schmitt,F,"$92,500.00","$92,500.00"
Real Salt Lake,Marcelo Silva,D,"$600,000.00","$646,667.00"
Real Salt Lake,Jude Wellings,M,"$65,500.00","$81,500.00"
Real Salt Lake,Bobby Wood,F,"$925,000.00","$1,018,161.00"
San Jose Earthquakes,Oskar Ägren,D,"$65,500.00","$65,500.00"
San Jose Earthquakes,Carlos Akapo,D,"$500,000.00","$545,111.00"
San Jose Earthquakes,George Asomani,M,"$66,724.00","$66,724.00"
San Jose Earthquakes,Tanner Baason,D,"$200,000.00","$200,000.00"
San Jose Earthquakes,Matt Barsano,GK,"$106,375.00","$106,375.00"
San Jose Earthquakes,Ousseni Bakds,F,"$84,000.00","$96,500.00"
San Jose Earthquakes,Cade Cowell,F,"$545,455.00","$635,364.00"
San Jose Earthquakes,Jeremy Eaoeisse,F,"$620,734.00","$766,617.00"
San Jose Earthquakes,Cristian Espinoza,F,"$1,150,000.00","$1,265,000.00"
San Jose Earthquakes,Gilbert Fuentes,M,"$190,000.00","$208,750.00"
San Jose Earthquakes,Jan Gregus,M,"$600,000.00","$655,000.00"
San Jose Earthquakes,Siad Haji,F,"$120,000.00","$129,000.00"
San Jose Earthquakes,Benjamin Kikanovic,F,"$85,444.00","$91,219.00"
San Jose Earthquakes,JT M arcinkowski,GK,"$300,000.00","$300,000.00"
San Jose Earthquakes,Paul M arie,D,"$145,000.00","$156,375.00"
San Jose Earthquakes,Cruz Medina,M,"$65,500.00","$83,894.00"
San Jose Earthquakes,Jamiro Monteiro,M,"$1,200,000.00","$1,293,500.00"
San Jose Earthquakes,Emmanuel Ochoa,GK,"$84,000.00","$94,051.00"
San Jose Earthquakes,Nathan Pelae Cardoso,D,"$650,000.00","$691,250.00"
San Jose Earthquakes,Eric Ramedi,M,"$450,000.00","$450,000.00"
San Jose Earthquakes,Will Richmond,F,"$65,500.00","$65,500.00"
San Jose Earthquakes,Shea Salinas,F,"$280,000.00","$280,000.00"
San Jose Earthquakes,Jack Saahan,M,"$84,000.00","$84,000.00"
San Jose Earthquakes,Tommy Thompson,D,"$280,000.00","$280,000.00"
San Jose Earthquakes,Miguel Trauco,D,"$100,000.00","$150,000.00"
San Jose Earthquakes,Niko Tsakiris,M,"$65,500.00","$69,667.00"
San Jose Earthquakes,Casey W alls,D,"$100,000.00","$103,000.00"
San Jose Earthquakes,Jackson Yueill,M,"$700,000.00","$736,875.00"
San Jose Earthquakes,Judson ,M,"$420,000.00","$425,000.00"
San Jose Earthquakes,Rodrigues ,D,"$550,000.00","$608,000.00"
Seattle Sounders FC,Samuel Adeniran,F,"$65,500.00","$65,500.00"
Seattle Sounders FC,Xavier Arreaga,D,"$700,000.00","$700,000.00"
Seattle Sounders FC,Joshua Atencio,M,"$84,000.00","$88,557.00"
Seattle Sounders FC,Reed Baker-Whiting,M,"$65,500.00","$85,500.00"
Seattle Sounders FC,Will Bruin,F,"$260,000.00","$260,000.00"
Seattle Sounders FC,Leonardo CFe,M-F,"$550,000.00","$550,000.00"
Seattle Sounders FC,Abdoulaye Cissoko,D,"$66,724.00","$66,724.00"
Seattle Sounders FC,Stefan Cleveland,GK,"$150,000.00","$167,500.00"
Seattle Sounders FC,Ethan Daibelaere,M,"$89,716.00","$103,716.00"
Seattle Sounders FC,Stefan rsF raeei,GK,"$500,000.00","$500,000.00"
Seattle Sounders FC,Yeimar rsGaoemez Andrade,D,"$650,004.00","$719,092.00"
Seattle Sounders FC,Danny Leyva,M,"$110,000.00","$129,423.00"
Seattle Sounders FC,Nicolas Lodeiro,M,"$2,640,000.00","$3,256,667.00"
Seattle Sounders FC,Jimmy Medranda,M-D,"$200,000.00","$210,000.00"
Seattle Sounders FC,Fredy rsMaoentero,F,"$110,000.00","$110,000.00"
Seattle Sounders FC,Jordan Morris,F,"$1,250,000.00","$1,370,100.00"
Seattle Sounders FC,Alfonso Ocempo-Chavez,F,"$100,000.00","$114,500.00"
Seattle Sounders FC,Joao Paulo Mior,M,"$1,200,000.00","$1,283,333.00"
Seattle Sounders FC,Jackson rsRaageen,D,"$65,500.00","$65,500.00"
Seattle Sounders FC,Cristian Raldan,M,"$860,000.00","$981,542.00"
Seattle Sounders FC,Alex Raldan,M-D,"$200,000.00","$232,500.00"
Seattle Sounders FC,Kelyn Rawe,M-D,"$275,000.00","$275,000.00"
Seattle Sounders FC,Raul Raidiaz,F,"$2,472,000.00","$3,201,120.00"
Seattle Sounders FC,Albert Rasnak,M,"$1,800,000.00","$1,871,667.00"
Seattle Sounders FC,Dylan rsTeavees,M,"$65,500.00","$65,500.00"
Seattle Sounders FC,Andrew Thomas,GK,"$84,000.00","$91,500.00"
Seattle Sounders FC,Nouhou Tole,D,"$300,000.00","$344,274.00"
Seattle Sounders FC,Obed rsV aaregas,M,"$65,500.00","$74,531.00"
Sporting Kansas City,William Agada,F,"$200,000.00","$246,875.00"
Sporting Kansas City,Osvaldo Cisneros,F,"$65,500.00","$68,500.00"
Sporting Kansas City,Jacob Davis,M,"$65,500.00","$65,500.00"
Sporting Kansas City,Cameron Duke,M,"$90,000.00","$93,000.00"
Sporting Kansas City,Roger Espinoza,M,"$300,000.00","$300,000.00"
Sporting Kansas City,Andreu Fontas,D,"$1,125,000.00","$1,125,000.00"
Sporting Kansas City,Kortne Ford,D,"$150,000.00","$151,667.00"
Sporting Kansas City,Felipe Hernandez,M,"$85,444.00","$119,153.00"
Sporting Kansas City,Nicolas I simat-Mirin,D,"$950,000.00","$1,028,124.00"
Sporting Kansas City,Gadi Kinda,M,"$850,000.00","$918,000.00"
Sporting Kansas City,Kendall McIntosh,GK,"$120,000.00","$120,000.00"
Sporting Kansas City,Tim sMCeiltiia,GK,"$525,000.00","$529,167.00"
Sporting Kansas City,Logan sNCdietinbe,D,"$350,000.00","$396,125.00"
Sporting Kansas City,Kayden Pierre,D,"$65,500.00","$70,600.00"
Sporting Kansas City,Alan Pultdo,F,"$2,200,000.00","$2,200,000.00"
Sporting Kansas City,John sPCulistikamp,GK,"$89,716.00","$92,216.00"
Sporting Kansas City,Kaveh sRCaidti,D,"$84,000.00","$84,000.00"
Sporting Kansas City,Oriol Rosell,M,"$475,000.00","$475,000.00"
Sporting Kansas City,Johnny sRCuistsi ell,F,"$2,000,000.00","$2,000,000.00"
Sporting Kansas City,Daniel SaNoi,F,"$450,000.00","$506,667.00"
Sporting Kansas City,Khiry Shelton,F,"$350,000.00","$350,000.00"
Sporting Kansas City,Ben Sweat,D,"$200,000.00","$200,000.00"
Sporting Kansas City,Erik Thom my,M,"$1,200,000.00","$1,306,250.00"
Sporting Kansas City,Marinos Tzionis,F-M,"$612,500.00","$612,500.00"
Sporting Kansas City,Robert Voioder,D,"$400,000.00","$427,860.00"
Sporting Kansas City,Remi Wa!ter,M,"$800,000.00","$800,000.00"
Sporting Kansas City,Graham Zusi,D,"$450,000.00","$450,000.00"
St. Louis City SC,Roman Bürki,GK,"$1,500,000.00","$1,632,469.00"
St. Louis City SC,Isak Jensen,F,"$100,000.00","$148,250.00"
St. Louis City SC,Joao Klauss,F,"$1,230,000.00","$1,365,180.00"
St. Louis City SC,Eduard Lowen,M,"$1,150,000.00","$1,294,250.00"
St. Louis City SC,Joakim Nilsson,D,"$1,074,200.00","$1,130,200.00"
St. Louis City SC,Tomas Ostrak,M,"$363,000.00","$457,750.00"
St. Louis City SC,Selmir Pidro,D,"$250,000.00","$291,875.00"
St. Louis City SC,Celio Pompeu,M,"$65,500.00","$65,500.00"
St. Louis City SC,Max Schneider,M,"$65,500.00","$65,500.00"
Toronto FC,Ifunanyachi Achara,M,"$84,000.00","$84,000.00"
Toronto FC,Ayo Akinola,F,"$600,000.00","$671,875.00"
Toronto FC,Themi Antonoglou,M,"$65,500.00","$65,500.00"
Toronto FC,Federico Bernardeschi,F,"$3,125,000.00","$6,256,322.00"
Toronto FC,Alex Bono,GK,"$525,000.00","$557,000.00"
Toronto FC,Michael Bradley,M,"$1,500,000.00","$1,500,000.00"
Toronto FC,Kadin Chung,D,"$65,500.00","$70,631.00"
Toronto FC,Domenico Criscito,D,"$1,200,000.00","$1,510,000.00"
Toronto FC,Doneil Henry,D,"$385,000.00","$403,000.00"
Toronto FC,Lorenzo Insigne,F,"$14,000,000.00","$14,000,000.00"
Toronto FC,Jesus Jimenez,F-M,"$815,000.00","$934,927.00"
Toronto FC,Mark-Anthon Kaye,yM,"$700,000.00","$700,000.00"
Toronto FC,Deandre Kerr,M-F,"$65,500.00","$70,819.00"
Toronto FC,Richie Laryea,M,"$1,170,402.00","$1,276,745.00"
Toronto FC,Lukas MacNaughton,D,"$84,000.00","$86,100.00"
Toronto FC,Jahkeele Marshall-Rutty,F,"$130,000.00","$136,842.00"
Toronto FC,Chris Mavinga,D,"$1,000,000.00","$1,037,500.00"
Toronto FC,Hugo Mbongue,F,"$65,500.00","$75,078.00"
Toronto FC,Jayden Nelson,F,"$130,000.00","$136,586.00"
Toronto FC,Shane O'Neill,D,"$320,000.00","$358,000.00"
Toronto FC,Noble Okello,M,"$115,000.00","$126,815.00"
Toronto FC,Jonathan Osorio,M,"$1,000,000.00","$1,026,250.00"
Toronto FC,Jordan Perruzza,F,"$84,000.00","$86,500.00"
Toronto FC,Luca Petrasso,D,"$65,500.00","$70,012.00"
Toronto FC,Gregory Ranjitsingh,GK,"$84,000.00","$89,167.00"
Toronto FC,Luke Singh,D,"$84,000.00","$91,966.00"
Toronto FC,Kosi Thompson,M,"$65,500.00","$70,760.00"
Toronto FC,Quentin Westberg,GK,"$300,000.00","$313,583.00"
Toronto FC,Auro Jr. ,D,"$400,000.00","$428,750.00"
Vancouver Whitecaps,Michael Baldisimo,M,"$107,415.00","$109,292.00"
